Rank,Name,Country,Sales,Profit,Assets,Market Value,Year
35,China Life Insurance,China,97.129,5.967,474.155,104.055,2018
36,BP,United Kingdom,251.939,4.319,275.287,152.567,2018
37,Mitsubishi UFJ Financial,Japan,51.76,8.9441,2774.219,86.166,2018
38,Bank of Communications,China,59.05,10.729,1472.867,66.642,2018
39,Softbank,Japan,82.636,9.1766,293.187,84.919,2018
40,BMW Group,Germany,114.435,10.2394,241.324,72.348,2018
41,Anheuser-Busch InBev,Belgium,56.361,7.9078,248.635,184.307,2018
42,Royal Bank of Canada,Canada,40.491,8.8372,1040.286,113.418,2018
43,Gazprom,Russia,112.226,12.2459,316.803,57.835,2018
44,Pfizer,United States,52.673,21.748,164.612,207.66,2018
45,ItaÃº Unibanco Holding,Brazil,62.31,7.548,437.6,87.033,2018
46,Nippon Telegraph & Tel,Japan,104.808,7.7407,191.106,96.119,2018
47,Sberbank,Russia,46.326,13.4486,470.933,86.311,2018
48,Nestle,Switzerland,91.227,7.2979,133.792,237.278,2018
49,Intel,United States,64.031,11.091,128.596,254.762,2018
50,Morgan Stanley,United States,45.587,6.892,858.495,97.718,2018
51,Siemens,Germany,94.469,7.1398,163.376,112.503,2018
52,Boeing,United States,95.798,9.216,113.549,199.511,2018
53,Amazon.com,United States,193.194,3.938,126.362,777.775,2018
54,TD Bank Group,Canada,35.741,7.9182,1028.093,107.762,2018
55,Procter & Gamble,United States,66.408,10.074,124.369,184.496,2018
56,ING Group,Netherlands,56.579,5.5325,1016.136,62.21,2018
57,Postal Savings Bank Of China,China,56.103,7.6336,1466.597,55.33,2018
58,Honda Motor,Japan,138.598,9.558,181.938,58.905,2018
59,Sumitomo Mitsui Financial,Japan,49.131,7.2232,1847.732,58.292,2018
60,Goldman Sachs Group,United States,43.69,4.863,973.535,91.755,2018
61,Intesa Sanpaolo,Italy,42.522,8.252,956.871,63.06,2018
62,Industrial Bank,China,47.951,8.7562,1023.094,53.522,2018
63,Novartis,Switzerland,50.261,8.06,135.526,202.983,2018
64,Glencore International,Switzerland,205.384,5.7578,135.593,75.479,2018
65,Banco Bradesco,Brazil,76.5,4.6777,370.504,61.34,2018
66,Prudential,United Kingdom,111.476,3.0766,655.094,67.756,2018
67,Ford Motor,United States,159.589,7.751,267.23,44.593,2018
68,IBM,United States,80.057,5.682,125.285,132.316,2018
69,CVS Health,United States,185.944,6.648,135.139,65.482,2018
70,Shanghai Pudong Development,China,48.301,8.1632,974.775,50.739,2018
71,Commonwealth Bank,Australia,33.038,7.6184,752.374,93.505,2018
72,Walt Disney,United States,56.826,11.473,97.943,152.137,2018
73,"Prudential Financial,41.95,61.127,7.763,829.677,73,Financials,Life & Health Insurance,North America,United States,New Jersey,New Jersey,""John Robert Strangfeld, Jr."",http://www.forbes.com/companies/prudential-financial/,0.00935665325180763,0.126997889639603",,,,,,2018
74,Rosneft,Russia,94.789,3.9088,214.222,68.972,2018
75,Enel,Italy,86.675,4.6336,193.638,61.566,2018
76,Citic Pacific,Hong Kong,57.814,5.6336,962.064,44.397,2018
77,Facebook,United States,44.587,17.847,88.945,541.47,2018
78,MetLife,United States,64.085,4.437,712.584,47.543,2018
79,Deutsche Telekom,Germany,84.535,3.9027,179.078,80.831,2018
80,SAIC Motor,China,136.567,5.4102,118.434,63.835,2018
81,Alibaba,China,37.87,9.6174,114.005,499.404,2018
82,BASF,Germany,75.1,7.0678,98.947,95.299,2018
83,Reliance Industries,India,60.757,5.596,125.165,93.066,2018
84,China State Construction Engineering,China,162.275,5.1306,257.557,40.392,2018
85,China Citic Bank,China,43.648,6.545,893.992,46.54,2018
86,Sony,Japan,77.089,4.4283,179.272,59.896,2018
87,Westpac Banking Group,Australia,29.353,6.3989,668.765,76.241,2018
88,Bank of Nova Scotia,Canada,28.83,6.4541,752.457,74.979,2018
89,British American Tobacco,United Kingdom,26.132,48.3358,190.789,119.987,2018
90,China Minsheng Banking,China,42.743,7.354,954.04,43.524,2018
91,Equinor,Norway,65.145,4.861,115.449,90.211,2018
92,AIA Group,Hong Kong,31.917,6.1205,213.21,111.406,2018
93,Roche Holding,Switzerland,54.151,8.771,78.682,189.692,2018
94,Lloyds Banking Group,United Kingdom,33.593,4.049,1098.581,65.391,2018
95,Eni,Italy,75.483,3.8654,143.132,70.712,2018
96,Charter Communications,United States,42.074,9.908,146.151,64.782,2018
97,Nissan Motor,Japan,106.866,7.3793,173.683,39.72,2018
98,LukOil,Russia,99.902,7.1799,91.973,60.435,2018
99,United Technologies,United States,61.218,4.463,98.779,99.591,2018
100,Bayer,Germany,44.351,8.4222,92.726,104.625,2018
101,AIRBUS,Netherlands,74.672,2.9765,138.333,92.149,2018
102,PepsiCo,United States,64.038,4.882,81.887,138.141,2018
103,Unilever,Netherlands,60.587,6.8274,72.39,155.786,2018
104,ANZ,Australia,28.739,5.2729,717.29,61.245,2018
105,Hon Hai Precision,Taiwan,154.711,4.5602,114.496,49.49,2018
106,Tencent Holdings,China,35.269,10.6055,85.177,491.253,2018
107,"Oracle,191.134,39.471,3.65,138.201,107,Information Technology,Software & Programming,North America,United States,California,California,""Safra A. Catz, Mark Hurd"",http://www.forbes.com/companies/oracle/,0.0264108074471241,0.0924729548275949",,,,,,2018
108,BHP Billiton,Australia,41.234,4.712,112.582,133.205,2018
109,US Bancorp,United States,24.063,6.391,460.119,84.587,2018
110,Zurich Insurance Group,Switzerland,64.092,3.0041,401.147,48.025,2018
111,Rio Tinto,United Kingdom,40.002,8.7144,95.726,99.306,2018
112,Mitsubishi,Japan,68.278,5.0542,150.794,46.356,2018
113,UniCredit Group,Italy,29.007,6.137,1004.817,47.782,2018
114,Mizuho Financial,Japan,29.729,5.1242,1850.368,46.195,2018
115,EDF,France,78.54,2.9417,337.127,42.957,2018
116,BBVA-Banco Bilbao Vizcaya,Spain,29.239,4.2771,843.01,54.477,2018
117,Sanofi,France,39.54,4.276,119.871,94.905,2018
118,Taiwan Semiconductor,Taiwan,33.064,11.5138,70.28,203.024,2018
119,American Express,United States,37.648,3.096,179.956,87.258,2018
120,Saudi Basic Industries,Saudi Arabia,41.896,4.9785,90.518,91.839,2018
121,Home Depot,United States,100.904,8.63,44.529,219.374,2018
122,DowDuPont,United States,80.578,1.661,192.441,155.33,2018
123,TelefÃ³nica,Spain,59.676,3.3995,141.157,51.115,2018
124,Walgreens Boots Alliance,United States,124.028,4.134,70.816,63.556,2018
125,National Australia Bank,Australia,25.578,4.1167,610.632,58.172,2018
126,Kraft Heinz Company,United States,26.172,11.099,120.787,72.224,2018
127,China Evergrande Group,China,46.035,3.5687,270.539,41.97,2018
128,Fiat Chrysler Automobiles,United Kingdom,128.83,4.5225,117.608,34.976,2018
129,Anthem,United States,90.114,4.1454,73.3,59.219,2018
130,Chubb,Switzerland,32.613,3.85,168.781,63.428,2018
131,China Shenhua Energy,China,36.431,6.709,91.177,64.62,2018
132,Vale,Brazil,34.094,4.614,94.388,77.407,2018
133,China Vanke,China,36.6,4.2335,194.585,43.806,2018
134,PNC Financial Services,United States,18.475,5.488,379.161,70.88,2018
135,Renault,France,66.289,5.7683,132.02,30.754,2018
136,Generali Group,Italy,93.132,2.3799,647.168,30.846,2018
137,AbbVie,United States,29.612,6.352,69.342,165.321,2018
138,China Pacific Insurance,China,50.943,2.474,191.097,47.987,2018
139,Bank of Montreal,Canada,22.229,3.7427,593.315,50.878,2018
140,Banco do Brasil,Brazil,55.033,3.4488,412.771,27.832,2018
141,China Everbright Bank,China,30.335,4.84,661.698,32.213,2018
142,CK Hutchison,Hong Kong,31.89,4.5041,140.746,45.384,2018
143,Country Garden Holdings,China,33.789,3.8896,161.19,45.197,2018
144,KDDI,Japan,45.492,5.1657,61.82,65.526,2018
145,Johnson & Johnson,United States,78.662,1.245,156.625,341.277,2018
146,Iberdrola,Spain,37.766,3.289,138.022,49.383,2018
147,Hyundai Motor,South Korea,85.908,3.033,164.714,31.567,2018
148,Credit Agricole,France,21.051,3.604,1861.58,43.92,2018
149,Hitachi,Japan,84.53,3.2751,95.032,38.516,2018
150,Christian Dior,France,49.252,2.5266,87.373,76.442,2018
151,Phillips 66,United States,92.686,5.09,52.132,54.857,2018
152,ArcelorMittal,Luxembourg,68.587,4.5667,85.297,36.82,2018
153,United Parcel Service,United States,67.705,5.097,44.464,99.698,2018
154,Medtronic,Ireland,29.725,2.807,95.8,115.965,2018
155,FedEx,United States,63.864,4.459,51.851,67.044,2018
156,PTT PCL,Thailand,58.813,3.9347,68.497,50.893,2018
157,VINCI,France,46.105,3.0984,83.819,56.769,2018
158,CNOOC,Hong Kong,27.583,3.6297,94.782,78.832,2018
159,Capital One Financial,United States,30.636,2.491,362.857,45.058,2018
160,Time Warner,United States,31.532,5.453,68.997,73.389,2018
161,SociÃ©tÃ© GÃ©nÃ©rale,France,27.831,2.639,1531.174,38.341,2018
162,Bank of New York Mellon,United States,17.279,4.302,373.597,57.791,2018
163,UBS,Switzerland,40.34,1.4527,960.083,61.802,2018
164,Visa,United States,19.355,9.002,69.042,295.124,2018
165,Brookfield Asset Management,Canada,47.594,2.339,195.936,38.914,2018
166,Caterpillar,United States,48.499,2.227,78.014,92.592,2018
167,Aetna,United States,60.612,3.494,59.197,57.135,2018
168,Royal Bank of Scotland,United Kingdom,21.481,2.4939,1035.98,47.935,2018
169,China Communications Construction,China,71.159,3.045,135.58,28.797,2018
170,McKesson,United States,205.442,4.798,64.213,30.788,2018
171,Aviva,United Kingdom,63.718,1.9279,580.591,29.521,2018
172,Express Scripts,United States,100.234,4.5943,53.406,40.893,2018
173,Valero Energy,United States,98.647,4.229,49.376,49.397,2018
174,China Telecom,China,54.198,2.7367,101.535,38.56,2018
175,Union Pacific,United States,21.583,10.95,57.789,109.652,2018
176,Duke Energy,United States,23.971,2.963,138.541,56.242,2018
177,Jardine Matheson,Hong Kong,39.456,3.785,82.814,44.229,2018
178,Enbridge,Canada,33.584,2.2026,129.369,57.192,2018
179,Exelon,United States,34.475,3.36,117.018,39.233,2018
180,ENGIE,France,73.348,1.6051,180.519,41.764,2018
181,SAP,Germany,27.389,4.9128,51.03,138.862,2018
182,NextEra Energy,United States,16.372,8.223,94.284,75.779,2018
183,Mitsui,Japan,44.14,3.7758,106.316,30.342,2018
184,Manulife,Canada,40.086,1.6564,549.67,38.499,2018
185,Allstate,United States,38.003,3.469,113.289,33.877,2018
186,BlackRock,United States,13.375,5.197,216.017,86.561,2018
187,Legal & General Group,United Kingdom,52.145,2.4353,676.61,22.572,2018
188,China Railway Group,China,105.996,2.503,132.598,25.334,2018
189,Costco Wholesale,United States,135.964,2.96,38.703,85.903,2018
190,Tokio Marine Holdings,Japan,47.641,1.8287,206.911,35.929,2018
191,Merck & Co.,United States,40.764,1.58,86.041,160.584,2018
192,Orange,France,46.354,1.816,115.707,48.252,2018
193,Philip Morris International,United States,29.57,5.985,43.07,126.223,2018
194,Dai-ichi Life Insurance,Japan,57.629,2.2027,481.971,22.835,2018
195,Aflac,United States,21.812,4.729,147.356,35.016,2018
196,Canadian Imperial Bank,Canada,16.649,3.577,478.402,40.002,2018
197,Gilead Sciences,United States,24.783,3.464,65.381,86.025,2018
198,Twenty-First Century Fox,United States,29.207,4.02,53.978,70.286,2018
199,Nordea Bank,Sweden,15.196,3.508,713.544,43.02,2018
200,Broadcom,United States,18.824,7.787,54.544,99.969,2018
201,SK Hynix,South Korea,29.288,10.6788,46.088,56.845,2018
202,HDFC Bank,India,15.721,2.8713,169.144,77.596,2018
203,Suncor Energy,Canada,25.743,3.0347,70.799,65.072,2018
204,Continental,Germany,51.445,3.4738,47.774,53.2,2018
205,Deutsche Post,Germany,68.177,3.0601,46.697,50.75,2018
206,Itochu,Japan,49.715,3.6121,81.466,28.757,2018
207,L'OrÃ©al Group,France,29.353,4.2949,42.435,134.22,2018
208,Lockheed Martin,United States,51.626,2.396,46.634,92.523,2018
209,Coca-Cola,United States,33.682,1.434,93.282,179.317,2018
210,Honeywell International,United States,41.434,1.767,60.948,110.068,2018
211,Lowe's,United States,68.619,3.436,35.291,72.213,2018
212,MondelÄ“z International,United States,26.247,3.19,64.503,57.867,2018
213,AstraZeneca,United Kingdom,22.44,2.9761,63.354,90.618,2018
214,3M,United States,32.25,4.137,38.575,121.802,2018
215,Amgen,United States,22.965,2.219,71.164,115.811,2018
216,Marathon Petroleum,United States,71.577,3.436,50.364,35.717,2018
217,Altria Group,United States,19.575,10.701,43.899,104.455,2018
218,China Railway Construction,China,103.203,2.506,131.134,20.318,2018
219,KB Financial Group,South Korea,29.004,3.0688,409.235,21.718,2018
220,Cigna,United States,42.636,2.554,63.141,42.263,2018
221,Micron Technology,United States,25.858,10.002,41.263,60.099,2018
222,Denso,Japan,46.09,2.8923,54.202,40.571,2018
223,JXTG Holdings,Japan,92.943,3.2655,79.526,22.027,2018
224,Danske Bank,Denmark,18.349,3.0066,583.832,29.058,2018
225,Delta Air Lines,United States,42.057,3.521,54.078,37.108,2018
226,GlaxoSmithKline,United Kingdom,39.786,1.3715,78.78,98.558,2018
227,People's Insurance,China,69.954,2.3783,147.374,20.213,2018
228,DBS Group,Singapore,11.81,3.4182,404.108,56.58,2018
229,Posco,South Korea,55.3,2.6179,75.638,26.782,2018
230,E.ON,Germany,43.022,4.8813,67.926,24.173,2018
231,Panasonic,Japan,72.02,2.1297,59.155,34.929,2018
232,Fresenius,Germany,39.318,2.1,65.801,44.086,2018
233,Repsol,Spain,49.739,2.2741,71.567,30.198,2018
234,Travelers,United States,29.258,2.092,103.676,35.472,2018
235,East Japan Railway,Japan,26.618,2.6072,76.612,37.892,2018
236,Baoshan Iron & Steel,China,40.743,3.0788,56.219,31.673,2018
237,Qatar National Bank,Qatar,13.818,3.6654,228.908,36.355,2018
238,Volvo Group,Sweden,41.538,2.6256,53.051,37.09,2018
239,Danone,France,27.834,2.7668,53.157,48.893,2018
240,Thermo Fisher Scientific,United States,22.006,2.2525,56.58,87.123,2018
241,McDonald's,United States,22.283,5.3529,33.723,129.86,2018
242,Target,United States,71.879,2.934,38.999,37.649,2018
243,Petrobras,Brazil,90.047,0.642,247.97,92.612,2018
244,KBC Group,Belgium,13.791,2.8458,351.044,36.003,2018
245,Midea Group,China,37.837,2.744,40.143,55.671,2018
246,Shire,Ireland,15.348,4.434,67.869,50.304,2018
247,HP,United States,54.173,3.853,35.245,37.276,2018
248,EXOR,Netherlands,161.78,1.5701,196.661,18.291,2018
249,National Grid,United Kingdom,18.388,3.3517,77.286,38.489,2018
250,Central Japan Railway,Japan,16.44,3.5685,83.768,38.7,2018
251,General Dynamics,United States,31.067,2.948,37.219,60.571,2018
252,Canon,Japan,36.704,2.201,46.812,46.356,2018
253,Sumitomo,Japan,43.555,2.7837,73.067,21.991,2018
254,Orix,Japan,25.83,2.8253,107.438,23.102,2018
255,BB&T,United States,12.281,2.761,220.729,42.933,2018
256,Schneider Electric,France,27.908,2.4251,47.851,48.385,2018
257,Air Liquide,France,22.953,2.519,49.266,55.116,2018
258,Japan Tobacco,Japan,19.386,3.527,46.451,55.045,2018
259,Peugeot,France,73.553,2.1758,69.793,21.43,2018
260,Cathay Financial,Taiwan,23.562,1.8508,296.908,23.05,2018
261,Anglo American,United Kingdom,26.2,3.1587,54.561,32.007,2018
262,Bank of Beijing,China,15.887,2.8779,380.335,22.964,2018
263,Seven & I Holdings,Japan,54.197,1.626,51.497,38.867,2018
264,ABB,Switzerland,35.037,2.0572,43.57,51.263,2018
265,Sun Life Financial,Canada,21.759,1.8395,205.995,25.872,2018
266,Oil & Natural Gas,India,18.73,3.0568,65.546,35.72,2018
267,Danaher,United States,18.819,2.5526,47.145,71.122,2018
268,Sun Hung Kai Properties,Hong Kong,11.289,6.9492,86.955,46.87,2018
269,Poly Real Estate,China,20.46,2.3585,120.983,25.647,2018
270,Indian Oil,India,52.916,2.9601,46.624,24.448,2018
271,Deere & Company,United States,30.537,1.4188,66.578,47.7,2018
272,Diageo,United Kingdom,15.659,4.1288,40.72,89.382,2018
273,Charles Schwab,United States,9.38,2.573,248.32,80.222,2018
274,Shinhan Financial Group,South Korea,17.603,2.4901,406.602,21.152,2018
275,HCA Holdings,United States,44.414,2.701,37.299,35.552,2018
276,Tesco,United Kingdom,75.377,1.298,61.813,32.657,2018
277,Aegon,Netherlands,35.249,2.5503,452.368,14.114,2018
278,CRRC,China,31.313,1.64,59.187,41.01,2018
279,Munich Re,Germany,63.438,0.7561,323.475,34.778,2018
280,Royal Ahold Delhaize N.V.,Netherlands,72.399,2.183,42.239,28.776,2018
281,SK Holdings,South Korea,82.526,1.484,102.543,20.034,2018
282,BT Group,United Kingdom,30.788,2.1764,61.052,29.179,2018
283,Reckitt Benckiser Group,United Kingdom,14.825,4.0373,50.069,54.961,2018
284,Oversea-Chinese Banking,Singapore,10.078,3.159,351.232,41.166,2018
285,Safran,France,19.107,4.4734,38.722,48.602,2018
286,Southern Company,United States,23.779,1.152,111.567,45.453,2018
287,CNP Assurances,France,45.817,1.3942,491.494,17.12,2018
288,Accenture,Ireland,39.12,3.5893,23.133,101.016,2018
289,Huaxia Bank,China,18.673,2.998,404.355,17.206,2018
290,Inditex,Spain,28.907,3.8423,25.203,99.483,2018
291,LyondellBasell Industries,United Kingdom,35.837,5.308,26.896,44.135,2018
292,State Street,United States,11.79,2.335,250.286,37.275,2018
293,Henkel,Germany,23.139,2.8806,36.203,54.101,2018
294,Gree Electric Appliances,China,23.906,3.6166,34.707,45.11,2018
295,Korea Electric Power,South Korea,52.91,1.1488,169.809,21.462,2018
296,Johnson Controls International,Ireland,30.729,2.098,49.952,33.621,2018
297,Saint-Gobain,France,46.031,1.7663,51.535,29.765,2018
298,Mitsubishi Electric,Japan,39.981,2.4531,40.099,32.36,2018
299,CaixaBank,Spain,11.657,2.3197,472.79,30.709,2018
300,Baidu,China,13.413,3.517,42.829,94.126,2018
301,Ecopetrol,Colombia,19.351,2.844,42.451,45.702,2018
302,Dominion Resources,United States,12.662,3.007,77.354,42.22,2018
303,Fubon Financial,Taiwan,26.589,1.779,232.059,17.813,2018
304,Nippon Steel & Sumitomo Metal,Japan,51.146,1.76,71.391,19.94,2018
305,Northrop Grumman,United States,26.271,2.114,34.795,56.727,2018
306,Humana,United States,54.284,1.824,33.453,39.201,2018
307,Nomura,Japan,17.795,1.9791,381.677,18.966,2018
308,Merck,Germany,17.288,2.9326,43.304,43.268,2018
309,Standard Chartered,United Kingdom,20.958,0.8926,663.501,34.411,2018
310,Carnival,United States,17.951,2.645,41.441,47.412,2018
311,United Overseas Bank,Singapore,9.385,2.625,277.933,36.9,2018
312,China Resources Land,Hong Kong,15.481,2.9536,73.499,25.65,2018
313,Bridgestone,Japan,32.945,2.6386,35.312,30.715,2018
314,Raytheon,United States,25.615,2.151,30.497,61.423,2018
315,RWE Group,Germany,47.863,2.1431,89.599,14.744,2018
316,Hewlett Packard Enterprise,United States,31.158,1.513,61.619,27.445,2018
317,Progressive,United States,27.986,1.8859,41.331,36.358,2018
318,NN Group,Netherlands,19.87,2.3213,271.599,15.289,2018
319,Japan Post Holdings,Japan,116.584,0.442,2586.797,54.55,2018
320,ICICI Bank,India,18.455,1.1963,172.378,29.721,2018
321,Canadian Natural Resources,Canada,14.401,2.1309,56.788,44.141,2018
322,HDFC,India,10.684,2.5194,86.275,47.86,2018
323,China Huarong Asset Management,China,18.155,3.2413,287.202,13.687,2018
324,Archer Daniels Midland,United States,61.37,1.649,41.1,24.593,2018
325,American Airlines Group,United States,42.984,1.871,53.28,19.943,2018
326,Kroger,United States,122.662,1.89,37.806,20.985,2018
327,Gas Natural Fenosa,Spain,27.184,1.6127,57.729,26.06,2018
328,CRH,Ireland,28.45,2.16,37.985,30.874,2018
329,AmÃ©rica MÃ³vil,Mexico,54.602,0.6243,78.732,57.779,2018
330,Eli Lilly,United States,23.343,1.1241,44.356,89.494,2018
331,Sompo,Japan,32.232,1.7288,111.38,16.434,2018
332,DNB,Norway,9.027,2.709,340.472,31.661,2018
333,BCE,Canada,17.862,2.2603,43.939,37.772,2018
334,MS&AD Insurance,Japan,47.248,0.8778,202.958,20.257,2018
335,Surgutneftegas,Russia,19.823,3.3372,74.498,17.192,2018
336,SunTrust Banks,United States,9.858,2.449,204.885,32.185,2018
337,PayPal,United States,13.807,1.922,42.322,94.041,2018
338,Samsung Life Insurance,South Korea,25.303,1.032,264.019,21.449,2018
339,CSX,United States,11.415,5.804,37.439,55.226,2018
340,Synchrony Financial,United States,14.035,2.076,95.559,25.745,2018
341,Greenland Holdings Group,China,44.798,1.4862,138.051,13.946,2018
342,Rolls-Royce Holdings,United Kingdom,21.001,5.4179,40.585,21.072,2018
343,Daiwa House Industry,Japan,34.25,2.1326,37.943,25.308,2018
344,Nike,United States,35.261,1.804,22.552,110.288,2018
345,Eaton,Ireland,20.807,3.036,32.668,33.44,2018
346,American Electric,United States,15.527,1.7748,65.61,33.078,2018
347,Natixis,France,10.696,1.776,624.4,26.002,2018
348,Marubeni,Japan,68.034,1.87,64.665,13.951,2018
349,Kering,France,17.458,2.014,30.713,74.464,2018
350,Celgene,United States,13.509,2.814,34.556,61.277,2018
351,Principal Financial Group,United States,13.987,2.3586,253.636,16.905,2018
352,Linde,Germany,19.6,1.7588,40.815,39.744,2018
353,Occidental Petroleum,United States,13.297,1.894,42.808,65.067,2018
354,SingTel,Singapore,12.686,4.0813,36.551,43.293,2018
355,Saudi Electricity,Saudi Arabia,13.496,1.842,118.86,23.542,2018
356,Discover Financial Services,United States,11.865,2.17,101.967,26.302,2018
357,United Continental Holdings,United States,38.348,2.182,44.018,18.555,2018
358,Bank Of Shanghai,China,11.813,2.2681,292.047,19.112,2018
359,Cardinal Health,United States,134.426,1.697,41.031,17.181,2018
360,TransCanada,Canada,10.468,2.5298,69.041,39.085,2018
361,Imperial Tobacco Group,United Kingdom,20.085,1.6233,42.47,35.746,2018
362,Tyson Foods,United States,39.983,2.787,28.091,24.612,2018
363,China Cinda Asset Management,China,15.71,2.6833,212.982,13.759,2018
364,Telstra,Australia,19.907,2.9151,32.993,28.682,2018
365,Wesfarmers,Australia,52.959,1.1559,31.651,37.669,2018
366,Suzuki Motor,Japan,33.9,1.946,31.414,27.617,2018
367,Mastercard,United States,13.343,4.326,22.944,201.894,2018
368,EOG Resources,United States,12.465,3.1927,30.741,67.964,2018
369,WPP,United Kingdom,19.659,2.3395,45.545,22.481,2018
370,Starbucks,United States,23.466,4.3904,17.554,79.033,2018
371,Femsa,Mexico,25.24,2.1031,31.286,31.199,2018
372,Deutsche Lufthansa,Germany,41.518,2.7755,47.114,14.134,2018
373,Automatic Data Processing,United States,13.072,1.7779,44.066,56.096,2018
374,Citigroup,United States,90.469,-5.838,1922.104,185.788,2018
375,Macquarie Group,Australia,10.29,1.8909,147.444,27.597,2018
376,Standard Bank Group,South Africa,9.586,2.0162,163.807,28.534,2018
377,Norfolk Southern,United States,10.693,5.519,36.162,43.059,2018
378,Telecom Italia,Italy,22.365,1.2644,83.642,20.241,2018
379,Lincoln National,United States,14.249,2.012,279.237,14.874,2018
380,Southwest Airlines,United States,21.233,3.6,25.503,30.416,2018
381,Sinohydro Group,China,41.183,1.1435,96.368,15.167,2018
382,International Paper,United States,23.017,2.664,34.03,22.216,2018
383,Philips,Netherlands,20.669,1.8113,30.398,39.073,2018
384,First Abu Dhabi Bank,United Arab Emirates,7.277,2.8638,184.54,33.824,2018
385,Tata Motors,India,43.028,1.7138,44.606,16.816,2018
386,CenturyLink,United States,19.392,1.341,74.793,21.147,2018
387,Freddie Mac,United States,73.514,6.34,2022.483,0.858,2018
388,General Electric,United States,121.455,-7.838,358.109,126.806,2018
389,PG&E,United States,16.923,1.526,68.154,22.372,2018
390,Heineken Holding,Netherlands,24.688,1.102,51.243,28.45,2018
391,Magna International,Canada,40.349,2.28,27.089,22.562,2018
392,Etisalat,United Arab Emirates,14.243,2.3047,34.625,38.238,2018
393,Komatsu,Japan,22.567,1.7721,31.712,31.074,2018
394,Fannie Mae,United States,114.09,3.951,3364.402,1.494,2018
395,Maybank,Malaysia,9.131,1.7492,189.103,29.577,2018
396,Saudi Telecom,Saudi Arabia,13.577,2.7289,30.669,42.791,2018
397,VTB Bank,Russia,24.101,1.977,225.969,10.97,2018
398,Booking Holdings,United States,13.19,2.4924,25.019,99.874,2018
399,Mitsui Fudosan,Japan,15.8,1.4064,59.25,25.362,2018
400,Takeda Pharmaceutical,Japan,15.925,1.6959,39.153,33.396,2018
401,Ameriprise Financial,United States,12.023,1.671,144.762,19.822,2018
402,New China Life Insurance,China,22.089,0.937,114.442,20.391,2018
403,Canadian National Railway,Canada,10.151,4.1613,30.063,58.419,2018
404,Tata Consultancy Services,India,19.096,4.0061,16.298,98.445,2018
405,Michelin Group,France,24.769,1.9051,30.341,25.537,2018
406,Freeport-McMoRan,United States,17.604,2.256,36.637,23.572,2018
407,Subaru,Japan,30.724,1.9882,27.121,25.285,2018
408,Novo Nordisk,Denmark,17.302,6.0815,15.436,116.89,2018
409,China Merchants Shekou Industrial Zone Holdings,China,10.643,2.3956,57.315,28.562,2018
410,Bristol-Myers Squibb,United States,21.04,0.919,33.083,84.767,2018
411,LG Electronics,South Korea,55.68,1.4825,38.673,16.452,2018
412,Texas Instruments,United States,15.348,4.017,17.507,106.947,2018
413,International Airlines,United Kingdom,25.954,2.2771,32.735,19.384,2018
414,Tokyo Electric Power,Japan,52.791,2.8699,118.4,8.233,2018
415,Bank Rakyat Indonesia,Indonesia,9.258,2.2139,81.296,27.69,2018
416,Fosun International,China,13.073,1.9521,81.97,18.59,2018
